completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
783.0,303,303,462,-105,105,375,645,775,622,837,645,-62,-23
584.0,304,143,119,-105,105,375,645,544,649,494,645,50,4
600.0,305,305,462,-105,105,375,645,830,639,837,645,-7,-6
851.0,306,323,583,105,105,585,645,1229,664,1168,645,61,19
219.0,307,108,69,-105,105,375,645,452,649,444,645,8,4
584.0,308,86,69,105,105,585,645,680,648,654,645,26,3
632.0,309,253,355,105,-105,585,435,905,446,940,435,-35,11
599.0,310,335,583,105,-105,585,435,1167,435,1168,435,-1,0
583.0,311,274,355,-105,-105,375,435,717,444,730,435,-13,9
616.0,312,312,462,-105,-105,375,435,855,432,837,435,18,-3
704.0,313,154,119,-105,-105,375,435,542,429,494,435,48,-6
436.0,314,64,33,-105,105,375,645,411,649,408,645,3,4
484.0,315,71,33,-105,-105,375,435,399,442,408,435,-9,7
516.0,316,142,119,-105,105,375,645,494,649,494,645,0,4
568.0,317,107,69,-105,105,375,645,475,647,444,645,31,2
601.0,318,223,262,-105,105,375,645,623,643,637,645,-14,-2
618.0,319,353,583,-105,-105,375,435,941,427,958,435,-17,-8
617.0,320,263,355,-105,105,375,645,754,640,730,645,24,-5
563.0,321,155,119,-105,-105,375,435,527,449,494,435,33,14
234.0,322,62,33,-105,105,375,645,399,641,408,645,-9,-4
352.0,323,114,69,-105,-105,375,435,446,437,444,435,2,2
615.0,324,300,462,-105,105,375,645,864,637,837,645,27,-8
197.0,325,197,183,-105,-105,375,435,589,437,558,435,31,2
800.0,326,339,583,105,-105,585,435,1139,428,1168,435,-29,-7
715.0,327,289,462,105,105,585,645,945,639,1047,645,-102,-6
199.0,328,17,12,105,-105,585,435,595,435,597,435,-2,0
700.0,329,329,583,105,105,585,645,1142,636,1168,645,-26,-9
784.0,330,275,355,-105,-105,375,435,689,425,730,435,-41,-10
585.0,331,194,183,-105,-105,375,435,545,435,558,435,-13,0
665.0,332,281,462,105,105,585,645,1066,646,1047,645,19,1
416.0,333,3,12,105,105,585,645,593,644,597,645,-4,-1
714.0,334,334,583,105,-105,585,435,1153,427,1168,435,-15,-8
536.0,335,145,119,-105,105,375,645,473,647,494,645,-21,2
602.0,336,229,262,-105,105,375,645,654,648,637,645,17,3
582.0,337,234,262,-105,-105,375,435,627,433,637,435,-10,-2
199.0,338,38,12,-105,-105,375,435,385,437,387,435,-2,2
700.0,339,345,583,-105,105,375,645,913,633,958,645,-45,-12
818.0,340,176,183,105,-105,585,435,773,443,768,435,5,8
365.0,341,41,33,105,105,585,645,611,644,618,645,-7,-1
949.0,342,251,355,105,-105,585,435,868,441,940,435,-72,6
568.0,343,88,69,105,105,585,645,668,646,654,645,14,1
366.0,344,43,33,105,105,585,645,607,644,618,645,-11,-1
599.0,345,124,119,105,105,585,645,708,653,704,645,4,8
649.0,346,346,583,-105,105,375,645,899,642,958,645,-59,-3
717.0,347,310,462,-105,-105,375,435,840,445,837,435,3,10
616.0,348,348,583,-105,105,375,645,939,652,958,645,-19,7
649.0,349,349,583,-105,105,375,645,926,663,958,645,-32,18
366.0,350,56,33,105,-105,585,435,624,436,618,435,6,1
232.0,351,75,33,-105,-105,375,435,401,434,408,435,-7,-1
484.0,352,217,262,105,-105,585,435,811,437,847,435,-36,2
535.0,353,319,462,-105,-105,375,435,841,434,837,435,4,-1
467.0,354,190,183,-105,-105,375,435,544,441,558,435,-14,6
667.0,355,140,119,-105,105,375,645,507,649,494,645,13,4
382.0,356,72,33,-105,-105,375,435,403,438,408,435,-5,3
634.0,357,357,583,-105,-105,375,435,1041,447,958,435,83,12
384.0,358,156,119,-105,-105,375,435,489,439,494,435,-5,4
836.0,359,355,583,-105,-105,375,435,863,439,958,435,-95,4
