time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_x,cursor_y,target_x,target_y
229011.0,97,54,33,105,-105,585,435,585,442,618,435
229029.0,97,54,33,105,-105,585,435,586,441,618,435
229045.0,97,54,33,105,-105,585,435,586,439,618,435
229061.0,97,54,33,105,-105,585,435,587,438,618,435
229079.0,97,54,33,105,-105,585,435,587,438,618,435
229095.0,97,54,33,105,-105,585,435,587,438,618,435
229112.0,97,54,33,105,-105,585,435,587,438,618,435
229128.0,97,54,33,105,-105,585,435,587,438,618,435
229145.0,97,54,33,105,-105,585,435,587,438,618,435
229162.0,97,54,33,105,-105,585,435,587,438,618,435
229178.0,97,54,33,105,-105,585,435,587,438,618,435
229194.0,97,54,33,105,-105,585,435,587,438,618,435
229212.0,97,54,33,105,-105,585,435,587,438,618,435
229228.0,97,54,33,105,-105,585,435,587,438,618,435
229245.0,97,54,33,105,-105,585,435,587,438,618,435
229261.0,97,54,33,105,-105,585,435,587,438,618,435
229277.0,97,54,33,105,-105,585,435,587,438,618,435
229295.0,97,54,33,105,-105,585,435,587,438,618,435
229312.0,97,54,33,105,-105,585,435,587,438,618,435
229328.0,97,54,33,105,-105,585,435,587,438,618,435
229345.0,97,54,33,105,-105,585,435,587,438,618,435
229361.0,97,54,33,105,-105,585,435,588,438,618,435
229379.0,97,54,33,105,-105,585,435,590,437,618,435
229395.0,97,54,33,105,-105,585,435,598,437,618,435
229412.0,97,54,33,105,-105,585,435,609,436,618,435
229428.0,97,54,33,105,-105,585,435,618,435,618,435
229445.0,97,54,33,105,-105,585,435,626,435,618,435
229462.0,97,54,33,105,-105,585,435,627,435,618,435
229479.0,97,54,33,105,-105,585,435,627,435,618,435
229495.0,97,54,33,105,-105,585,435,627,435,618,435
229512.0,97,54,33,105,-105,585,435,627,435,618,435
229529.0,97,54,33,105,-105,585,435,627,435,618,435
229544.0,97,54,33,105,-105,585,435,627,435,618,435
229563.0,97,54,33,105,-105,585,435,627,435,618,435
229578.0,97,54,33,105,-105,585,435,627,435,618,435
229595.0,97,54,33,105,-105,585,435,627,435,618,435
229612.0,97,54,33,105,-105,585,435,627,435,618,435
229628.0,98,12,33,105,-105,585,435,627,435,618,435
229644.0,98,12,12,105,-105,585,435,627,435,597,435
229662.0,98,12,12,105,-105,585,435,627,435,597,435
229678.0,98,12,12,105,-105,585,435,627,435,597,435
229695.0,98,12,12,105,-105,585,435,627,435,597,435
229711.0,98,12,12,105,-105,585,435,627,435,597,435
229728.0,98,12,12,105,-105,585,435,627,435,597,435
229745.0,98,12,12,105,-105,585,435,627,435,597,435
229761.0,98,12,12,105,-105,585,435,627,435,597,435
229778.0,98,12,12,105,-105,585,435,627,435,597,435
